id,name,clubNumber,district,country,city,website,meetingDay,localTime,timezone,durationMin,frequency,format,language,zoomLink,contactName,contactEmail,guestPolicy,guestsMaySpeak,visitorsMayTakeRoles,specialty,classification,activity,notes,sourceUrl,verified,lastVerified,verificationLevel,region
"freddys-forum-fl","Freddy's Forum Toastmasters Club","00005173","D47","United States","West Palm Beach","https://freddysforum.toastmastersclubs.org/","Friday","12:00","America/New_York","60","weekly","hybrid","English","","","","Guests welcome free; email club for Zoom meeting link","","","general","PRACTICE","","D47 Area 42/Division D per official D47 club list. cross-referenced with official Toastmasters District 47 club list (toastmastersd47.org/district-47-clubs)","https://www.toastmasters.org/Find-a-Club/00005173-00005173","true","2026-09-25","official","United States"
"south-florida-pmi-fl","South Florida PMI Toastmasters","07840560","D47","United States","Miramar","https://7840560.toastmastersclubs.org/","Wednesday","18:30","America/New_York","60","2nd & 4th Wednesday","hybrid","English","","","","No pressure to participate until comfortable","","","professional","PROFESSIONAL","","Project Management Institute affiliated club. cross-referenced with official Toastmasters District 47 club list (toastmastersd47.org/district-47-clubs)","https://www.toastmasters.org/Find-a-Club/07840560-south-florida-pmi-toastmasters","true","2026-09-25","official","United States"
"florida-blue-fl","Florida Blue Toastmasters Club","02525706","D84","United States","Jacksonville","https://floridablue.toastmastersclubs.org/","Wednesday","12:00","America/New_York","60","weekly","hybrid","English","","","","Visitors welcome free; may have professional/educational prerequisites for membership","","","business","PRACTICE","","Area A11. May be primarily for Florida Blue employees/affiliates; confirm guest access before attending.","https://www.toastmasters.org/Find-a-Club/02525706-floridabluetoastmastersclub","true","2026-09-25","official","United States"
"daytona-beach-fl","Daytona Beach Toastmasters Club","00001134","D84","United States","Daytona Beach","https://daytonabeachtm.toastmastersclubs.org/","Monday","18:00","America/New_York","60","weekly","hybrid","English","","","","Guests welcome free, no obligation to participate","","","general","PRACTICE","","Area B20.","https://www.toastmasters.org/Find-a-Club/00001134-daytona-beach-toastmasters-club","true","2026-09-25","official","United States"
"bartow-fl","Bartow Toastmasters Club","00743985","","United States","Bartow","http://bartow.toastmastersclubs.org/","Tuesday","18:00","America/New_York","60","2nd & 4th Tuesday","hybrid","English","https://us02web.zoom.us/j/8210124147","","","Free guest visits, no obligation","","","general","PRACTICE","","Official page listed 'Area D46'; district number not explicit.","https://www.toastmasters.org/Find-a-Club/00743985-bartow-toastmasters-club","true","2026-09-25","official","United States"
"miami-dade-fl","Miami Dade Toastmasters Club","00008251","D47","United States","Miami (Brickell)","https://8251.toastmastersclubs.org/","Wednesday","12:00","America/New_York","60","2nd & 4th Wednesday","online","English","https://zoom.us/j/5676169143","","","Membership open to all; online attendance allowed","","","general","PRACTICE","","Area E51. cross-referenced with official Toastmasters District 47 club list (toastmastersd47.org/district-47-clubs)","https://www.toastmasters.org/Find-a-Club/8251-miami-dade-toastmasters-club","true","2026-09-25","official","United States"
"north-miami-beach-fl","North Miami Beach Toastmasters Club","00003840","D47","United States","North Miami Beach","https://3840.toastmastersclubs.org/","Tuesday","18:30","America/New_York","60","weekly","online","English","","","","Online attendance available regardless of location","","","general","PRACTICE","","Area A14. cross-referenced with official Toastmasters District 47 club list (toastmastersd47.org/district-47-clubs)","https://www.toastmasters.org/Find-a-Club/3840-north-miami-beach-toastmasters-club","true","2026-09-25","official","United States"
"metropolitan-ministries-fl","Metropolitan Ministries Toastmasters","02475269","","United States","Tampa","","Friday","12:00","America/New_York","60","weekly (1st & 3rd Friday in-person; other Fridays via Microsoft Teams)","hybrid","English","","","","Contact club prior to attending","","","general","PRACTICE","","Area C31. NOTE: online sessions use Microsoft Teams, not Zoom.","https://www.toastmasters.org/Find-a-Club/02475269-02475269","true","2026-09-25","official","United States"
"tallahassee-fl","Tallahassee Toastmasters Club","00001135","","United States","Tallahassee","https://tallahassee.toastmastersclubs.org/","Tuesday","12:00","America/New_York","60","weekly","hybrid","English","","","","Guest visits welcome, no pressure to participate","","","general","PRACTICE","","Area F63.","https://www.toastmasters.org/Find-a-Club/00001135-tallahassee-toastmasters-club","true","2026-09-25","official","United States"
"superior-speakers-advanced-fl","Superior Speakers Advanced Club","28676723","D47","United States","Lake Worth","https://superiorspeakers.org","Wednesday","20:00","America/New_York","60","weekly","online","English","","","","","","","advanced","ADVANCED","","City/format/club# cross-verified via official D47 club list (Area 43/Division D); day/time via toastmost.org directory (toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session).","https://www.toastmastersd47.org/district-47-clubs/","true","2026-09-25","district","United States"
