id,organization,type,city,county,website,audience,audienceSize,meetingFrequency,meetingDetails,typicalSpeakers,contactName,email,phone,applicationPage,speakingRequirements,paid,speechFit,whyFit,ladderLevel,notes,source,lastVerified
"opp-001","Rotary Club of Vero Beach","Rotary","Vero Beach","Indian River","https://www.rotaryofverobeach.com/","Local business & civic leaders","","Weekly","","Community leaders, nonprofits, local business owners","","","","https://www.rotaryofverobeach.com/","","unpaid","The Missing Piece; Building a Trade Business","Civic-minded Rotary audience values a locally-rooted entrepreneur/leadership story like Josias's.","3","Oldest Vero Beach Rotary club; part of Rotary District 6930.","https://www.rotaryofverobeach.com/","2026-09-25"
"opp-002","Sunrise Rotary Vero Beach","Rotary","Vero Beach","Indian River","https://sunriserotaryverobeach.org/","Business professionals, early-morning networking","","Weekly","","Local business and nonprofit leaders","","","","https://sunriserotaryverobeach.org/","","unpaid","The Missing Piece; Money: What's Missing?","A morning networking-oriented Rotary club fits Josias's entrepreneurship/mindset talk.","3","","https://sunriserotaryverobeach.org/","2026-09-25"
"opp-003","Rotary Club of Vero Beach Oceanside","Rotary","Vero Beach","Indian River","https://rotaryvboceanside.org/","Barrier-island/business community","","Weekly","","Guest civic and business speakers","","","","https://rotaryvboceanside.org/","","unpaid","The Missing Piece; Hurricane Hardening","Oceanside membership skews toward barrier-island condo owners who care about hurricane hardening.","3","","https://rotaryvboceanside.org/","2026-09-25"
"opp-004","Rotary Club of Sebastian","Rotary","Sebastian","Indian River","http://www.sebastianrotary.com/","Sebastian business & civic community","","Weekly","","Local officials, business owners, nonprofits","","","","http://www.sebastianrotary.com/meeting-information.html","","unpaid","The Missing Piece; Building a Trade Business","Small-city Rotary club open to local contractor/entrepreneur success stories.","3","Has a published meeting-information page.","http://www.sebastianrotary.com/meeting-information.html","2026-09-25"
"opp-005","Rotary Club of Fort Pierce","Rotary","Fort Pierce","St. Lucie","https://fprotary.org/","Fort Pierce business & civic leaders","","Weekly","","Local leaders and nonprofit reps","","","","https://fprotary.org/member-info/","","unpaid","The Missing Piece; Money: What's Missing?","Established Fort Pierce Rotary club (est. club #4394) regularly hosts community guest speakers.","3","Publishes an annual member guide PDF.","https://fprotary.org/","2026-09-25"
"opp-006","Port St. Lucie Rotary Club","Rotary","Port St. Lucie","St. Lucie","https://www.pslrotary.org/","Port St. Lucie business community","","Weekly","","Local business and civic leaders","","","","https://www.pslrotary.org/","","unpaid","The Missing Piece; Building a Trade Business","Growing Port St. Lucie business base fits entrepreneurship talk.","3","","https://www.pslrotary.org/","2026-09-25"
"opp-007","PSL Sunset Rotary Club","Rotary","Port St. Lucie","St. Lucie","https://pslsunsetrotary.com/","Evening-meeting professionals","","Weekly","","Community and business guest speakers","","","","https://pslsunsetrotary.com/contact-us","","unpaid","The Missing Piece; Money: What's Missing?","Evening club with a published contact/meetings page for booking speakers.","3","Has dedicated Meetings and Contact Us pages.","https://pslsunsetrotary.com/meetings","2026-09-25"
"opp-008","Stuart Rotary Club","Rotary","Stuart","Martin","https://www.stuartrotaryclub.com/","Stuart business & civic leaders","","Weekly","","Local officials, nonprofits, business owners","","","","https://www.stuartrotaryclub.com/?p=calendar","","unpaid","The Missing Piece; Hurricane Hardening","Waterfront Stuart community with strong interest in storm hardening.","3","Publishes a club calendar page.","https://www.stuartrotaryclub.com/?p=calendar","2026-09-25"
"opp-009","Stuart Sunrise Rotary Club","Rotary","Palm City","Martin","https://www.stuart-sunriserotary.org/","Morning networking professionals","","Weekly","","Local business and civic guest speakers","","","","https://www.stuart-sunriserotary.org/?p=calendar","","unpaid","The Missing Piece; Money: What's Missing?","Morning Rotary audience receptive to a mindset/entrepreneurship talk.","3","","https://www.stuart-sunriserotary.org/","2026-09-25"
"opp-010","Melbourne Rotary Club","Rotary","Melbourne","Brevard","https://melbournerotaryclub.org/","Melbourne business & civic leaders","","Weekly","","Community and business leaders","","","","https://melbournerotaryclub.org/about/","","unpaid","The Missing Piece; Money: What's Missing?","Outer-ring market where a general leadership/entrepreneurship talk travels well.","3","","https://melbournerotaryclub.org/","2026-09-25"
"opp-011","Rotary Club of Melbourne Beach","Rotary","Melbourne Beach","Brevard","https://melbournebeachrotary.org/","Beachside civic community","","Weekly","","Local civic and business speakers","","","","https://melbournebeachrotary.org/","","unpaid","The Missing Piece; Hurricane Hardening","Coastal barrier-island club with hurricane-hardening relevance.","3","","https://melbournebeachrotary.org/","2026-09-25"
"opp-012","Rotary Club of Palm Bay","Rotary","Palm Bay","Brevard","https://new.greaterpalmbaychamber.com/list/member/rotary-club-of-palm-bay-florida-inc-18722","Palm Bay business & civic leaders","","","","","","","","","","unpaid","The Missing Piece; Building a Trade Business","Fast-growing outer-ring market fits a trade-business-building story.","3","Found via Greater Palm Bay Chamber member directory; no independent club site located.","https://new.greaterpalmbaychamber.com/list/member/rotary-club-of-palm-bay-florida-inc-18722","2026-09-25"
"opp-013","Jupiter-Tequesta Rotary Club","Rotary","Jupiter","Palm Beach","https://jupiterrotary.com/","Jupiter/Tequesta business & civic leaders","","Weekly","","Local business, civic and nonprofit leaders","","","","https://www.jupiterrotary.com/?s=contact","","unpaid","The Missing Piece; Hurricane Hardening","Coastal Palm Beach County club with hurricane-mitigation relevance.","3","","https://jupiterrotary.com/","2026-09-25"
"opp-014","Kiwanis Club of Vero (Vero-Treasure Coast)","Kiwanis","Vero Beach","Indian River","https://k07310.site.kiwanis.org/","Civic-minded Vero Beach community","","Weekly","","Community leaders and nonprofits","","","","https://k07310.site.kiwanis.org/about/","","unpaid","The Missing Piece; Aging in Place","Kids/community-service Kiwanis club open to volunteer-driven personal stories.","3","Site has dedicated Meetings/About and Calendar pages.","https://k07310.site.kiwanis.org/about/","2026-09-25"
